Date,AL,AK,FL,GA,LA,MS,OK,SC,TN,TX
Jan-82,11.8,9.6,7.7,7.3,9.4,10,4.7,9.8,10.7,5.8
Feb-82,12,9.6,7.8,7.4,9.6,10.3,4.9,10.1,10.9,6
Mar-82,12.2,9.6,8,7.4,9.8,10.7,5,10.3,11.1,6.1
Apr-82,12.4,9.7,8.1,7.5,9.8,11,5.1,10.6,11.3,6.3
May-82,12.6,9.7,8.2,7.5,9.9,11.3,5.4,10.8,11.4,6.5
Jun-82,12.9,9.8,8.3,7.5,10,11.5,5.6,11,11.5,6.7
Jul-82,13.1,9.8,8.4,7.5,10.1,11.7,6.1,11,11.6,6.9
Aug-82,13.4,9.8,8.6,7.6,10.3,11.8,6.5,11.1,11.8,7.2
Sep-82,13.8,9.8,8.8,7.8,10.5,11.9,7,11.2,12.1,7.5
Oct-82,14.1,10,9,8.1,10.8,12.1,7.5,11.3,12.4,7.8
Nov-82,14.3,10.1,9.2,8.3,11.2,12.3,8.1,11.5,12.6,8
Dec-82,14.3,10.2,9.3,8.4,11.5,12.6,8.5,11.6,12.8,8.2
Jan-83,14.2,10.3,9.3,8.4,11.9,12.9,8.8,11.6,12.8,8.4
Feb-83,13.9,10.3,9.3,8.3,12.2,13.2,9,11.5,12.6,8.4
Mar-83,13.6,10.2,9.2,8.1,12.4,13.4,9.1,11.2,12.4,8.4
Apr-83,13.3,10.1,9,8,12.6,13.5,9.1,10.8,12.1,8.3
May-83,13,10,8.9,7.8,12.7,13.4,9.2,10.3,11.9,8.3
Jun-83,12.8,9.9,8.7,7.7,12.6,13.1,9.2,9.8,11.7,8.2
Jul-83,12.6,9.8,8.6,7.6,12.4,12.8,9,9.3,11.5,8.1
Aug-83,12.5,9.8,8.4,7.4,12,12.4,8.8,8.9,11.3,7.9
Sep-83,12.3,9.9,8.2,7.3,11.5,12,8.6,8.6,11.1,7.6
Oct-83,12.1,9.9,8,7.1,10.9,11.6,8,8.3,10.8,7.3
Nov-83,11.8,10,7.7,6.9,10.3,11.3,7.7,8.1,10.5,7
Dec-83,11.6,10.1,7.5,6.7,9.9,11.1,7.5,7.9,10.2,6.8
Jan-84,11.3,10.1,7.2,6.5,9.6,10.9,7.3,7.6,9.9,6.6
Feb-84,11,10.2,7,6.3,9.5,10.8,7.1,7.3,9.6,6.5
Mar-84,10.8,10.2,6.8,6.2,9.5,10.8,7.1,7,9.4,6.4
Apr-84,10.6,10.2,6.7,6.1,9.5,10.8,7,6.7,9.2,6.3
