Date,AL,AK,FL,GA,LA,MS,OK,SC,TN,TX
2-Jun,5.3,7.1,5.7,4.8,5.8,6.5,4.8,5.8,5.2,6.4
2-Jul,5.3,7.2,5.7,4.8,5.8,6.4,4.7,5.8,5.1,6.4
2-Aug,5.3,7.2,5.6,4.8,5.8,6.4,4.8,5.8,5,6.4
2-Sep,5.3,7.3,5.5,4.7,5.8,6.5,4.8,5.9,5,6.4
2-Oct,5.3,7.4,5.5,4.8,5.9,6.6,4.9,6.1,5.1,6.5
2-Nov,5.3,7.4,5.5,4.8,6,6.7,5.1,6.2,5.1,6.5
2-Dec,5.2,7.5,5.5,4.9,6,6.7,5.3,6.3,5.2,6.6
3-Jan,5.2,7.6,5.5,4.9,6.1,6.7,5.4,6.4,5.3,6.6
3-Feb,5.2,7.6,5.5,4.9,6.2,6.7,5.5,6.4,5.4,6.7
3-Mar,5.2,7.7,5.4,4.9,6.3,6.7,5.6,6.5,5.5,6.7
3-Apr,5.3,7.7,5.4,4.9,6.4,6.7,5.8,6.6,5.6,6.8
3-May,5.3,7.7,5.5,5,6.5,6.7,5.8,6.8,5.7,6.8
3-Jun,5.4,7.8,5.4,5,6.6,6.7,6,6.9,5.8,6.9
3-Jul,5.5,7.8,5.4,4.9,6.5,6.6,5.9,6.9,5.9,6.9
3-Aug,5.5,7.7,5.3,4.8,6.4,6.4,5.8,7,5.9,6.8
3-Sep,5.5,7.7,5.2,4.7,6.2,6.2,5.7,6.9,5.9,6.7
3-Oct,5.5,7.6,5,4.5,5.9,6,5.6,6.8,5.8,6.6
3-Nov,5.5,7.6,4.9,4.4,5.8,5.9,5.5,6.8,5.7,6.5
3-Dec,5.4,7.6,4.9,4.3,5.7,5.7,5.3,6.7,5.6,6.4
4-Jan,5.4,7.6,4.8,4.3,5.6,5.6,5.3,6.7,5.5,6.3
4-Feb,5.3,7.6,4.8,4.3,5.6,5.6,5.2,6.8,5.4,6.2
4-Mar,5.2,7.5,4.8,4.5,5.6,5.6,5.2,6.8,5.3,6.2
4-Apr,5.2,7.5,4.8,4.5,5.6,5.8,5.1,6.8,5.2,6.1
4-May,5.1,7.4,4.7,4.6,5.6,6,5,6.9,5.3,6.1
4-Jun,5.1,7.4,4.7,4.7,5.5,6.2,5,6.9,5.3,6
4-Jul,5,7.3,4.6,4.8,5.5,6.4,4.9,6.9,5.4,6
4-Aug,5,7.3,4.6,4.9,5.4,6.7,4.9,6.9,5.4,5.9
4-Sep,4.9,7.3,4.5,4.9,5.4,6.9,4.8,6.9,5.5,5.9
4-Oct,4.8,7.3,4.5,5,5.4,7,4.8,6.9,5.6,5.9
4-Nov,4.7,7.2,4.5,5.1,5.4,7.1,4.8,6.9,5.7,5.8
4-Dec,4.5,7.2,4.4,5.2,5.4,7.2,4.8,6.9,5.7,5.8
5-Jan,4.4,7.1,4.3,5.2,5.4,7.2,4.7,6.9,5.7,5.7
5-Feb,4.2,7,4.3,5.3,5.3,7.2,4.7,6.9,5.7,5.6
5-Mar,4,6.9,4.1,5.3,5.2,7.1,4.7,6.8,5.7,5.5
5-Apr,3.9,6.8,4,5.3,5.2,7.1,4.6,6.7,5.7,5.5
5-May,3.8,6.7,3.9,5.3,5.1,7.1,4.6,6.6,5.6,5.4
5-Jun,3.7,6.7,3.8,5.2,5,7,4.6,6.6,5.6,5.3
5-Jul,3.7,6.7,3.7,5.3,5,7,4.5,6.7,5.5,5.3
5-Aug,3.7,6.8,3.6,5.2,4.9,6.9,4.5,6.8,5.5,5.3
5-Sep,3.7,6.9,3.6,5.3,11.2,10.1,4.4,6.9,5.4,5.3
5-Oct,3.6,7,3.5,5.2,11,9.3,4.3,6.9,5.4,5.2
5-Nov,3.6,7,3.5,5.1,11,9.1,4.2,6.8,5.4,5.2
5-Dec,3.5,7,3.4,5,6,8.1,4.1,6.7,5.4,5.2
6-Jan,3.5,6.9,3.4,4.8,4.5,7.5,4,6.6,5.3,5.1
6-Feb,3.5,6.8,3.3,4.8,4.3,7.2,4,6.5,5.3,5.1
6-Mar,3.5,6.7,3.3,4.7,4.1,6.8,4,6.4,5.4,5.1
6-Apr,3.5,6.7,3.3,4.7,3.9,6.7,4.1,6.4,5.4,5.1
6-May,3.5,6.6,3.3,4.7,3.8,6.6,4.1,6.5,5.4,5.1
6-Jun,3.5,6.6,3.4,4.7,3.7,6.6,4.2,6.5,5.4,5
6-Jul,3.5,6.5,3.4,4.8,3.6,6.6,4.2,6.5,5.3,5
6-Aug,3.5,6.4,3.4,4.7,3.7,6.6,4.2,6.4,5.2,4.9
6-Sep,3.5,6.4,3.4,4.6,3.8,6.6,4.2,6.4,5.1,4.8
6-Oct,3.5,6.3,3.4,4.5,3.9,6.6,4.1,6.3,4.9,4.7
6-Nov,3.4,6.2,3.5,4.5,3.9,6.6,4.1,6.2,4.8,4.6
6-Dec,3.4,6.2,3.5,4.5,3.9,6.6,4.1,6.1,4.8,4.5
7-Jan,3.4,6.1,3.5,4.4,3.9,6.5,4.1,5.9,4.7,4.4
7-Feb,3.4,6,3.6,4.4,3.9,6.5,4.1,5.8,4.6,4.4
7-Mar,3.3,5.9,3.6,4.3,3.8,6.4,4.1,5.6,4.6,4.3
7-Apr,3.3,5.9,3.7,4.4,3.8,6.3,4.2,5.5,4.5,4.3
7-May,3.4,6,3.8,4.4,3.8,6.2,4.2,5.5,4.6,4.3
7-Jun,3.4,6,4,4.5,3.8,6.1,4.2,5.5,4.7,4.3
7-Jul,3.5,6.1,4.1,4.6,3.7,6.1,4.2,5.5,4.8,4.4
7-Aug,3.5,6.1,4.2,4.7,3.7,6.1,4.1,5.6,4.9,4.4
7-Sep,3.6,6.2,4.3,4.7,3.7,6.2,4,5.6,5.1,4.4
7-Oct,3.7,6.2,4.5,4.8,3.7,6.2,3.9,5.6,5.3,4.4
7-Nov,3.8,6.2,4.6,4.9,3.7,6.2,3.7,5.6,5.4,4.4
7-Dec,3.9,6.2,4.7,5.1,3.8,6.1,3.6,5.6,5.5,4.4
8-Jan,4,6.2,4.9,5.1,3.8,6,3.4,5.5,5.6,4.4
8-Feb,4.1,6.2,5,5.2,3.8,6,3.2,5.5,5.7,4.4
8-Mar,4.2,6.2,5.2,5.4,3.8,6.1,3.2,5.6,5.8,4.4
8-Apr,4.4,6.3,5.4,5.5,3.8,6.3,3.2,5.8,6,4.5
8-May,4.6,6.4,5.7,5.8,3.9,6.6,3.4,6.1,6.3,4.6
8-Jun,4.9,6.5,6.1,6,4.1,6.9,3.6,6.5,6.5,4.8
8-Jul,5.1,6.5,6.4,6.3,4.4,7.1,3.7,6.8,6.8,4.9
8-Aug,5.3,6.6,6.7,6.6,4.7,7.2,3.8,7.2,7,5.1
8-Sep,5.7,6.6,7,6.8,5,7.3,3.8,7.6,7.2,5.2
8-Oct,6.1,6.7,7.3,7.1,5.2,7.4,4,8.1,7.5,5.5
8-Nov,6.7,6.7,7.7,7.5,5.4,7.6,4.2,8.7,7.9,5.7
8-Dec,7.4,6.9,8.2,8,5.5,7.9,4.6,9.4,8.5,6.1
9-Jan,8.1,7.1,8.7,8.4,5.7,8.2,5,10,9.1,6.4
9-Feb,8.7,7.3,9.2,8.7,5.9,8.6,5.5,10.7,9.6,6.8
9-Mar,9.2,7.5,9.6,9,6.2,8.9,5.8,11.1,10.1,7
9-Apr,9.7,7.7,9.9,9.2,6.5,9.2,6.1,11.5,10.5,7.3
9-May,10,7.8,10.2,9.5,6.8,9.3,6.5,11.7,10.7,7.5
9-Jun,10.3,8,10.5,9.7,7.1,9.5,6.7,11.9,10.9,7.8
9-Jul,10.5,8.1,10.8,9.9,7.2,9.7,6.8,12,10.9,7.9
9-Aug,10.6,8.2,11,10,7.3,9.8,6.9,12.1,10.9,8
9-Sep,10.7,8.3,11.2,10.1,7.3,10,6.9,12.2,10.8,8.1
9-Oct,10.8,8.4,11.4,10.2,7.3,10.2,6.9,12.2,10.8,8.1
9-Nov,10.9,8.5,11.6,10.2,7.3,10.4,6.8,12.3,10.7,8.2
9-Dec,10.9,8.6,11.7,10.3,7.3,10.5,6.8,12.4,10.7,8.2
10-Jan,11.1,8.5,12,10.4,7.4,11,6.7,12.5,10.7,8.2
10-Feb,11.1,8.5,12.2,10.5,7.3,11.5,6.8,12.4,10.7,8.2
10-Mar,11,8.5,12.3,10.5,6.9,11.6,6.6,12.2,10.6,8.2
10-Apr,11,8.4,12,10.3,6.7,11.5,6.6,11.5,10.5,8.3
10-May,10.7,8.2,11.7,10.1,6.8,11.4,6.7,11.1,10.4,8.3
10-Jun,10.3,7.9,11.4,10,7,11,6.8,10.7,10,8.2
10-Jul,9.7,7.7,11.5,9.9,7.2,10.8,6.9,10.7,9.7,8.2
10-Aug,9.2,7.7,11.7,10,7.6,10,7,11,9.6,8.3
