Month,E,A,C,H,G,,Month,E,A,C,H,G
Feb.94,103.4,125.9,137.4,159.8,91.6,,Jan.97,113.8,125.5,145.4,169.8,104.9
Mar.94,103.4,129.5,138.3,160.3,91,,Feb.97,114.5,131.1,146.6,170.9,103.7
Apr.94,102.6,131.7,138.6,159.2,90.7,,Mar.97,112.5,134.4,147.1,171.2,101.4
May.94,102.4,128.4,138.2,158.8,91.3,,Apr.97,109.3,132.4,146.5,170.5,99.6
Jun.94,104.8,127.7,138.4,159.5,93.7,,May.97,108.5,130.9,146.1,170.2,97.8
Jul.94,106.7,123.4,138.4,160.4,95.6,,Jun.97,111.7,126.4,145.2,171.3,98.7
Aug.94,107.4,123.4,138.5,161.8,98.1,,Jul.97,110.3,126.8,145,172.5,97.9
Sep.94,107.7,126.4,139.1,160.9,99,,Aug.97,111.3,127,145.3,172.7,102.2
Oct.94,104.8,127.2,139.6,160.7,101.5,,Sep.97,112.8,132,146.9,172.5,106.2
Month,E,A,C,H,G,,Month,E,A,C,H,G
Oct.97,109.6,135.5,147.4,172.6,102.8,,Oct.00,125.7,132.3,155.8,187.7,124.7
Nov.97,109.6,133.1,147.1,172.7,100.3,,Nov.00,129,125.6,154.4,188.5,125.1
Dec.97,110,128.9,146,173.4,98.3,,Dec.00,128.8,118.7,153.7,188.4,122.7
Jan.98,108.2,124.5,145.5,174,95.4,,Jan.01,131,116.6,153.5,189.7,120.3
Feb.98,106.4,129.8,146.1,174.5,92.4,,Feb.01,126.5,119.9,153.9,189.8,119.2
Mar.98,104.1,131,145.9,174.9,88,,Mar.01,123.7,124.6,154.8,191.3,116.1
Apr.98,104.2,129.6,146.2,174.7,88,,Apr.01,124.7,122.2,154.7,191.6,119.2
May.98,103.6,128.2,145.9,174.8,88,,May.01,130.8,120.7,156,191.5,133.7
Jun.98,105.9,125.8,145,176.1,88.5,,Jun.01,134.9,116.3,155.8,193.7,136.9
Jul.98,105,123.1,145.1,176.8,87.5,,Jul.01,132.8,110.9,154,194.3,127.7
Aug.98,104.8,129.6,146,177.1,86.8,,Aug.01,127,113.6,153.7,194.6,120.2
Sep.98,104,129.8,146.3,176.8,85.7,,Sep.01,123,118.2,154.4,193.7,115.8
Oct.98,102.3,131.4,147.1,177.1,85.7,,Oct.01,115.5,119.2,153.6,193.1,109.5
Nov.98,102.7,128,146.6,177.2,85.7,,Nov.01,111.6,114.3,152.5,194.1,100.4
Dec.98,101.5,123.4,146.4,177.3,84.1,,Dec.01,107.1,109.9,150.5,194.3,91.4
Jan.99,100.7,121.1,146.7,177.7,82,,Jan.02,107.3,108.9,150.4,196.4,90.6
Feb.99,100,120.8,146,178.4,80.2,,Feb.02,106.7,117.9,151.9,197.6,91
Mar.99,99.7,125.6,146.3,178.3,80.2,,Mar.02,108.8,121.4,152.9,199.2,95.5
Apr.99,102.7,127.1,147.9,178.5,89.7,,Apr.02,114.5,121.4,154.3,199.2,109.1
May.99,103.6,124.6,148.1,178.4,93.3,,May.02,115.7,119.9,153.7,198.7,112.4
Jun.99,106.9,124.5,148.2,179.7,92.9,,Jun.02,119.7,112.5,152.5,200.1,111.4
Jul.99,107.5,123.2,148.2,180.4,94.2,,Jul.02,119.4,108.3,152.3,200.8,110.1
Aug.99,108.5,123.7,149,180.4,99.6,,Aug.02,119.9,115.3,153.4,201.9,113.3
Sep.99,110.9,130.2,150.4,180.6,103.3,,Sep.02,119.5,119.6,154.6,201.1,113.1
Oct.99,111.6,134.7,151.3,180.5,106.3,,Oct.02,117.8,116.8,154.2,201.9,114.2
Nov.99,111.4,127.8,150.4,181.2,105,,Nov.02,119.3,112.7,154.2,201,116.4
Dec.99,112.1,122.3,149.7,181,107.2,,Dec.02,121.4,109.5,153.6,200.8,117.3
Jan.00,111.4,118.5,149.6,182.9,107.6,,Jan.03,124.6,107.2,153.4,204.6,120
