Date,CVX,XOM,AAPL,FB,MSFT,MRK,PFE,BAC,JPM,WFC
2-Aug-16,0.004843104,0.013743303,-0.014804338,-0.009814174,0,-0.005625639,-0.024658269,-0.013956734,-0.002351097,-0.005038841
3-Aug-16,0.010241992,0.005170037,0.012538285,-0.004711999,0.006892895,-0.011657809,-0.030228085,0.024769993,0.015868028,-0.00126609
4-Aug-16,-0.002186661,-0.000114299,0.000756215,0.015100808,0.007372301,0.00329575,-0.003967129,0,-0.001546551,0.00507078
5-Aug-16,0.001195338,0.000914495,0.01520733,0.006352525,0.009932044,0.104080221,0.008250356,0.039364641,0.026951673,0.011772125
8-Aug-16,0.006864989,0.011763362,0.00828061,0.000878945,0.001725328,-0.015659255,-0.014390519,0.005315615,-0.003016591,0.012674008
9-Aug-16,0.001185771,0.001241675,0.004060164,-0.001596679,0.002411299,-0.005886096,0.004294303,0.003965631,-0.003479576,0.001436192
10-Aug-16,-0.011646269,-0.025817362,-0.007444169,-0.001439309,-0.003092784,0.002400384,0.001425314,-0.025016458,-0.008957037,-0.014955952
11-Aug-16,0.012582385,0.003587548,-0.000648148,0.000160154,0.004825922,0.015804598,0.000569314,0.004726536,0.002757353,-0.003327787
12-Aug-16,0.007495069,0.013030443,0.002316316,-0.000160128,-0.006174957,-0.00440044,-0.004836415,0.002016129,-0.002138711,-0.00187813
15-Aug-16,0.005971026,-0.000455322,0.012017009,-0.007847534,0.003106662,-0.00047356,0.003716409,0.007377599,0.006123699,0.004181476
16-Aug-16,-0.00145957,0.001252705,-0.000913409,-0.004842615,-0.011699931,-0.004421984,-0.009114212,0.009986684,-0.000152161,0.00062461
17-Aug-16,-0.003897876,0.002161056,-0.00146279,0.008678021,0.002089136,0.003965736,0.010060362,-0.001318392,0.002739309,0.005201831
18-Aug-16,0.013011152,0.00907956,-0.001281817,-0.003698641,0.000694927,0.005372097,0.00142288,0.000660066,0.000910609,0.000413993
19-Aug-16,-0.01187832,-0.012484535,0.002566923,-0.002824631,0.000347222,-0.004243281,-0.005967604,0.003957784,-0.00136467,-0.002689841
22-Aug-16,-0.003713839,0.002164009,-0.007772495,0.004775008,0.000867754,0.002998737,-0.004002287,-0.002628121,-0.000911023,0.006224066
23-Aug-16,-0.00255052,-0.003068531,0.003133352,0.00177205,0.003814808,0.000472069,0.00717566,0.011198946,-0.000455927,-0.002268041
24-Aug-16,0.005114083,0.003419973,-0.007533303,-0.007156067,0.001036448,-0.013368984,-0.0076945,0.003257329,0.00273681,-0.000826617
25-Aug-16,-0.003033268,-0.00636219,-0.004258076,0.003320376,0.003796376,-0.006535948,-0.001435956,0.008441558,0.00181956,-0.001034126
26-Aug-16,-0.005594268,-0.002172422,-0.005856651,0.008636694,-0.002406739,0.008504493,0.001438021,0.01674179,0.002270319,-0.000414079
29-Aug-16,0.007204895,0.006531454,-0.001122125,0.012644046,0.001206273,0.002545744,0.008328547,0.003166561,0.01102386,0.008492129
30-Aug-16,-0.003429691,-0.003642987,-0.007676465,-0.005531848,-0.003614458,-0.004761149,-0.00655084,0.02209596,0.008215086,0.020332717
31-Aug-16,-0.011012783,-0.004341865,0.000943396,0.002225048,-0.00742788,0.001275714,-0.002293578,-0.003088326,0,0.011272142
1-Sep-16,-0.003678664,-0.003442736,0.005937795,0.000396448,0.002262443,0.001751871,-0.003448276,-0.009913259,-0.004296296,-0.00258758
2-Sep-16,0.007184912,0.00667895,0.009369437,0.002694777,0.00138913,0.00127186,0.002595156,0.001251564,0.004166047,0.001396927
6-Sep-16,0.014861785,0.013154884,-0.000278474,0.025452533,-0.001040402,0.004128295,0,-0.01375,-0.00074085,-0.010960542
7-Sep-16,0.004393244,-0.003725867,0.006128134,0.010174979,0.000867905,-0.005850727,0.00201323,-0.005069708,-0.004151839,0.000402982
8-Sep-16,0.012052877,0.00917951,-0.026208933,-0.005951927,-0.0039889,0.00588516,-0.003444317,0.010191083,0.001340083,-0.001812689
9-Sep-16,-0.027372263,-0.024817518,-0.022649735,-0.024334075,-0.021243253,-0.011859583,-0.017857143,-0.007566204,-0.008921933,-0.016949153
12-Sep-16,0.009677101,0.005181944,0.022398914,0.012509835,0.01494396,0.011201792,0.016129032,0.010165184,0.006151538,-0.015188834
13-Sep-16,-0.027579462,-0.023828617,0.023805008,-0.011500505,-0.009114812,-0.021838899,-0.017604618,-0.011320755,-0.00790337,-0.030429346
