Quarter,GDP252,GDP253,GDP254,GDP255,GDP256,GDP257,GDP258,GDP259,GDP260,GDP261,GDP266,GDP267,GDP268,GDP269,GDP271,GDP272,GDP274,GDP275,GDP276,GDP277,GDP278,GDP279,GDP280,GDP281,GDP282,GDP284,GDP285,GDP286,GDP287,GDP288,GDP289,GDP290,GDP291,GDP292,IPS11,IPS299,IPS12,IPS13,IPS18,IPS25,IPS32,IPS34,IPS38,IPS43,IPS307,IPS306,CES275,CES277,CES278,CES003,CES006,CES011,CES015,CES017,CES033,CES046,CES048,CES049,CES053,CES088,CES140
11,0.019625,0.048478,0.014063,0.017924,0.016652,0.032729,0.033046,-0.0050315,0.057783,0.032898,0.017326,0.027154,0.02254,0.019711,0.020279,-0.00047598,-0.006353,-0.0034475,-0.00063309,0.00067716,0.00070597,0.0017115,0.0025221,0.00097706,-0.00059577,0.0095372,0.00090436,0.0049996,0.0077006,0.001267,0.00046643,-0.00096336,-0.00097131,0.00046319,0.030908,0.033945,0.030038,0.051597,0.022961,0.029116,0.039153,0.040166,0.0457,0.035677,0.022491,0.019624,-0.0015223,0.01067,0.0014118,0.010957,-0.0053405,0.014147,0.011198,0.013895,0.0074322,0.0066033,0.0033135,0.0025287,0.0047824,0.0061389,0.0064092
12,0.010872,0.022949,0.0087956,0.0090576,0.057634,0.021635,0.022834,0.018244,0.02547,0.017908,0.036338,-0.0068841,0.012184,0.01933,0.017687,0.0032587,0.0013126,0.0047315,0.0024329,0.00033824,0.00070597,-0.00057061,-0.0018993,0.00058814,0.002382,-0.0059238,-0.010934,0.0036635,0.0028951,0.005123,0.0028115,0.0033289,0.003356,0.0027919,0.012223,0.01543,0.0065651,0.012571,0.0054134,0.021628,0.017421,0.024629,0.0069618,0.014815,0.019074,0.012047,-7.28E-05,-0.0083831,-0.00010916,0.0077459,-0.0059966,-0.0021548,0.010294,0.013889,0.0052378,0.0072164,0.0053685,0.0090214,0.0061475,0.0061015,0.0066688
13,0.011943,0.024991,0.0047908,0.015762,-0.0098637,0.02987,0.029656,0.035757,0.026279,0.03078,0.0038976,0.0068841,0.01674,0.0071068,0.01162,-0.0028129,0.0028437,-0.00044254,-0.0012524,-0.00033858,0.00035205,0.0014251,0.0012511,0.0011804,-0.0023813,-0.011161,0.013218,-0.0068524,-0.0058944,-0.0084979,-0.0028355,-0.0019204,-0.0019362,-0.0028155,0.020767,0.021917,0.017043,0.033963,0.010497,0.02274,-0.0053371,-0.012887,0.012719,0.010449,0.018847,0.011359,-0.0028727,0.0057829,-0.0074437,0.0094558,-0.012314,0.021897,0.008001,0.010264,0.0047947,0.0089616,0.0076875,0.0076023,0.0085987,0.0068199,0.0093441
14,0.0082759,0.0084746,0.0072829,0.0088366,0.017341,0.008046,0.012102,0.026178,0.0043135,-0.00077091,0.029474,0.01266,0.007908,0.012961,0.0089848,-7.76E-06,-0.0004427,-0.0017182,-0.0018402,-0.00033824,-0.0014106,-0.00171,-0.0043944,-3.87E-08,0.00059506,0.0088652,-0.0054953,0.00059894,0.0034758,-0.002586,-0.00047463,-0.00095573,-0.00096356,-0.00047127,0.014083,0.013308,0.0088898,0.0072782,0.0083831,0.021211,0.0060466,0.0040681,0.0084543,0.011241,0.02832,-0.010259,0.002754,-0.001282,0.0029239,0.0018528,-0.014937,0.0090668,0.0011163,0.0020111,-0.00015599,0.0053259,-0.00029687,0.0036583,0.0022716,0.0058982,0.011025
15,0.01403,0.045369,0.0061213,0.012903,-0.034396,-0.005165,-0.0064361,-0.024745,0.0042949,-0.0012862,-0.0052233,0.010908,0.0067797,0.0040389,0.0035714,0.00045386,-0.006113,0.0034013,-9.18E-06,-0.0010151,-0.0010589,-0.00057021,0.0043885,-0.0039417,-0.0017873,0.0023102,0.0091567,0.0042408,0.004557,0.0044734,0.0013909,0.0014078,0.0014192,0.0013813,0.0055546,0.0069461,0.0037046,0.011331,0.0013637,0.0045965,0.010231,0.014109,0.003724,0.009463,0.0063259,0.020009,-0.0028321,-0.0012438,-3.43E-05,-0.00041528,-0.013364,-0.0012115,0.00025744,0.00208,-0.0023427,0.0053249,0.0026686,-0.00087385,0.0041249,0.0068583,0.0075876
16,0.0065574,0.021541,0.0041523,0.0045389,0.054255,0.011442,-0.0016155,-0.035458,0.019803,0.035402,-0.024519,0.018651,0.006734,0.010933,0.012401,-0.00047052,0.003931,-0.0025651,0.001195,0.0013535,0.0021174,0.0014252,-9.79E-06,0.0029548,0.0023834,-0.00033194,0.0035948,-0.0024833,-0.0069485,0.0018598,-0.00094106,-0.00048334,-0.00048734,-0.00093446,0.018566,0.023589,0.026109,0.023714,0.027358,-0.00025481,0.018087,0.015168,0.015322,0.017411,0.038959,0.050774,0.0027166,-0.0012109,0.0028563,-0.0010736,-0.0096878,-0.008522,0.00068618,0.0020393,-0.0012517,0.005495,0.0022775,0.0060165,0.0047474,0.0074285,0.010715
17,0.0095658,0.022631,0.0041351,0.011054,0.014501,0.045589,0.031041,0.045902,0.022162,0.069341,-0.0093011,0.0090414,0.016813,0.0079423,0.012249,-0.001845,0.0030588,-0.0029694,-0.0018168,-0.0027101,-0.0024718,-0.0011403,-0.00063181,-0.0013861,-0.0047765,-0.0029657,-0.0050245,-0.0024388,-0.0022939,-0.0032114,-0.0018596,-0.0018834,-0.0018986,-0.0018467,0.017204,0.0098592,0.013852,0.029567,0.0083884,0.0091325,0.040201,0.054576,0.027404,0.027024,-0.0047419,-0.025492,-6.77E-05,-0.006804,-7.50E-05,0.0068203,0.010069,0.018719,0.0046194,0.0058398,0.0028662,0.007095,0.0066549,0.0044437,0.0051529,0.0071288,0.0062665
18,0.013616,0.011508,0.0079463,0.020154,0.032147,0.025752,0.030106,0.0070589,0.044213,0.018374,0.05391,0.026341,0.017559,0.022752,0.018608,0.00091743,-9.33E-06,0.0071835,0.0011911,-0.0010262,-0.0017752,0.0014252,-6.20E-06,0.0017801,-0.0066501,-0.00066366,0.0017765,-0.0048178,-0.0051385,-0.0025348,0.00092464,0.00046586,0.00046958,0.00091827,0.0097319,0.011019,0.0080752,0.02304,0.0019318,0.030588,0.00099288,-0.012465,0.018817,0.0065526,-0.0086909,0.012795,0.001282,0.014532,-7.37E-05,0.00395,0.00016333,0.014082,0.0020675,0.0026367,0.0012481,0.0062361,0.0022866,0.0025561,0.0037681,0.005618,0.0094689
19,0.008603,0.016642,0.00081844,0.01387,0.012787,0.031285,0.032176,0.019964,0.039825,0.03004,-0.026921,0.014108,0.010187,0.0049088,0.0078218,0.0041109,0.00042429,-0.0046566,0.0011783,0.0061171,0.0056672,-0.00114,-0.0012453,-0.00059498,0.017463,0.0033026,-3.39E-05,0.016735,0.024933,0.0056169,0.0041431,0.0041894,0.0042228,0.0041147,0.016751,0.015069,0.014088,0.020796,0.011894,0.027776,0.01803,0.024944,0.015915,0.017029,0.02489,0.011415,-0.001425,-0.0057209,-7.24E-05,0.002106,-0.003818,-0.0030163,0.0029129,0.0046424,0.00041569,0.0087926,0.005286,0.0079147,0.0081683,0.0087305,0.012054
20,0.019547,0.036823,0.018642,0.014844,0.039953,0.037284,0.024729,0.025415,0.023648,0.059377,-0.0052868,0.014499,0.021722,0.019398,0.022774,-0.0023053,-0.0013088,0.0033443,0.00056957,-0.0061194,-0.0053171,0.00028494,-0.0024814,0.0019824,-0.016294,0.0016473,0.0030604,-0.0090327,-0.013143,-0.0037808,-0.0023235,-0.0018867,-0.0019019,-0.0023074,0.011561,0.010737,0.011076,0.0081989,0.011755,0.028184,0.016114,0.013979,0.018441,0.013582,0.029888,0.0042235,-0.0040511,-0.0055534,-0.0042641,0.0016577,-0.0042716,-0.0017277,0.0026715,0.0029756,0.0022314,0.010009,0.010143,0.0079469,0.013262,0.0088943,0.010277
