,C,BAC,JPM,S&P
6/14/1994,54.6297,13.9375,13.4583,462.37
6/15/1994,55.981,13.875,13.4583,460.61
6/16/1994,55.2088,13.5625,13.4583,461.93
6/17/1994,53.6645,13.375,13.2917,458.45
6/20/1994,52.5063,13.1563,13.125,455.48
6/21/1994,51.7341,13.1563,12.9167,451.34
6/22/1994,51.5411,13.4063,13.0417,453.09
6/23/1994,50.5759,13.25,12.9583,449.63
6/24/1994,49.9968,12.875,12.7917,442.8
6/27/1994,49.9968,13.0938,13.0417,447.31
6/28/1994,49.4177,12.8438,13,446.07
6/29/1994,51.5411,13.125,12.7917,447.63
6/30/1994,49.8038,12.8438,12.8333,444.27
7/1/1994,49.9968,12.9375,12.9583,446.2
7/5/1994,48.6455,12.8125,12.7917,446.37
7/6/1994,49.4177,13.0938,12.7083,446.13
7/7/1994,49.2247,13.125,12.8333,448.38
7/8/1994,49.4177,13.2188,12.75,449.55
7/11/1994,48.4525,13.2188,12.7917,448.06
7/12/1994,47.8734,13.1875,12.75,447.95
7/13/1994,48.0664,13.25,12.75,448.73
7/14/1994,48.4525,13.625,13.0417,453.41
7/15/1994,48.2595,13.625,12.875,454.16
7/18/1994,49.6107,13.7813,12.9167,455.22
7/19/1994,49.6107,13.7813,12.7917,453.86
7/20/1994,50.769,13.4063,12.5417,451.6
7/21/1994,51.3481,13.4688,12.625,452.61
7/22/1994,51.9272,13.4375,12.625,453.11
7/25/1994,50.962,13.5625,12.75,454.25
7/26/1994,50.3829,13.6875,12.75,453.36
7/27/1994,51.3481,13.5,12.5,452.57
7/28/1994,50.769,13.75,12.5417,454.23
7/29/1994,51.155,13.9375,12.7917,458.26
8/1/1994,52.6993,13.9688,12.9167,461.01
8/2/1994,53.2784,13.7813,12.9583,460.56
8/3/1994,52.5063,13.7188,12.9583,461.45
8/4/1994,51.3481,13.7188,12.6667,458.4
8/5/1994,51.5411,13.7813,12.625,457.09
8/8/1994,52.3133,13.7188,12.6667,457.89
8/9/1994,51.9272,13.75,12.625,457.93
8/10/1994,51.7341,13.8438,12.625,460.3
8/11/1994,51.5411,13.8125,12.6667,458.88
8/12/1994,52.5063,13.9688,12.7917,461.94
8/15/1994,53.0854,13.9063,12.7917,461.23
8/16/1994,53.4715,13.9375,13.0417,465.01
8/17/1994,53.6645,13.8438,12.9583,465.17
8/18/1994,53.4715,13.8125,12.875,463.17
8/19/1994,53.6645,13.8438,12.9167,463.68
8/22/1994,52.8924,13.8438,13,462.32
8/23/1994,54.6297,13.75,13.125,464.51
8/24/1994,55.7879,13.7188,13.2083,469.03
8/25/1994,55.7879,13.6563,13.125,468.08
8/26/1994,56.5601,13.7813,13.2083,473.8
8/29/1994,56.7531,13.7188,13.1667,474.59
8/30/1994,56.9462,13.7813,13.0833,476.07
8/31/1994,57.1392,13.9375,12.9167,475.49
9/1/1994,56.9462,13.8438,12.7917,473.17
