Date,CVX,XOM,AAPL,FB,MSFT,JNJ,MRK,PFE,FBIOX,FSPHX
23-Sep-16,-0.00760152,-0.001077328,-0.016663759,-0.016297663,-0.006745071,-0.005441152,-0.000952079,0.003221083,-0.009229997,-0.005299417
26-Sep-16,-0.00443459,-0.004673457,0.001508296,-0.005079712,-0.009228626,-0.008669304,-0.012865311,-0.018096906,-0.011239937,-0.0110912
27-Sep-16,0.002024701,0.002167108,0.001860383,0.010839683,0.018453427,0.012226184,0.006757844,0.005648038,0.01423524,0.006024096
28-Sep-16,0.032026672,0.043969246,0.007604563,0.00419613,0.0013805,0.001425935,0.011666933,0.00472953,-0.007724542,-0.004284115
29-Sep-16,-0.008614782,-0.005063291,-0.015533129,-0.008821481,-0.010856454,-0.017756931,-0.021958926,-0.01971168,-0.034038872,-0.023761795
30-Sep-16,0.016293078,0.009484155,0.007755393,0.001405262,0.003484321,0.007333504,0.00807624,0.016506603,0.010797998,0.011168428
3-Oct-16,-0.004566654,-0.002635197,-0.004688191,0.003898028,-0.003125,0.00575637,0.001762538,-0.005609684,-0.003022408,-0.003566122
4-Oct-16,-0.011517814,-0.009190121,0.004265908,-0.004504155,-0.003134796,0.0000842,-0.000959693,0.001187648,-0.005697261,-0.002634457
5-Oct-16,0.009479609,0.008695652,0.000442478,0.002184258,0.00698812,0.003029793,0.005443484,0.005338078,0.011617516,0.005083479
6-Oct-16,-0.000489093,0.00045977,0.007430341,0.002101658,0.001734906,-0.003607988,-0.002229299,-0.007374631,-0.027229266,-0.010165121
7-Oct-16,0.000880799,-0.003446691,0.001492668,0.001941898,0.001039141,0.004126316,0.001755506,-0.002674591,-0.001121795,0.001302475
10-Oct-16,0.016720446,0.019598801,0.017446958,0.009690674,0.004152249,0.004696411,0.01800223,0.001489869,0.0186641,0.010806484
11-Oct-16,-0.0090402,-0.007914971,0.002154244,-0.01044226,-0.014645072,-0.01803005,-0.030829421,-0.014281464,-0.027771945,-0.025588992
12-Oct-16,-0.008637422,-0.006952359,0.00894239,0.001319056,-0.001398846,0.002805168,-0.004359761,-0.001811047,-0.031805173,-0.011022502
13-Oct-16,-0.013313754,-0.006541949,-0.003068007,-0.009531189,-0.003326913,0.002458252,0.013785274,-0.009374055,0.000669269,0.000564972
14-Oct-16,0.00287727,-0.000231054,0.005556505,0.00046941,0.008784259,-0.005919161,-0.005919053,-0.003052503,-0.02262847,-0.012679021
17-Oct-16,0.002770083,0,-0.000680099,-0.002658743,-0.003483107,0.007910854,-0.00997747,-0.004898959,-0.003649635,-0.004211293
18-Oct-16,0.004242305,0.002657731,-0.000680561,0.008075898,0.007689619,-0.025993755,0.00926528,0.005846154,0.014423077,0.016968621
19-Oct-16,0.004715591,0.004609888,-0.002979484,0.011977911,-0.002254596,-0.007105104,-0.003543244,-0.002753136,-0.01342812,-0.005698737
20-Oct-16,-0.003911215,0.000458873,-0.000512295,-0.000845438,-0.004867026,0.002443494,0.000808146,-0.001840491,0.015498113,0.008003305
21-Oct-16,-0.005595367,-0.006765279,-0.003929609,0.015923077,0.04209607,-0.012448855,-0.011627907,-0.011063307,-0.00619474,-0.008708124
24-Oct-16,-0.006317868,0.003347957,0.009005146,0.009161808,0.02246061,0.00149859,-0.007352941,-0.00155376,-0.008556695,-0.00206697
25-Oct-16,0.001092788,-0.00218617,0.005099873,-0.007427971,-0.000163934,0.003080715,0.019753086,0.004668534,-0.005258345,-0.007767191
26-Oct-16,0.004167907,0.004266605,-0.022494715,-0.009448938,-0.005902607,0.005265005,-0.017433414,0.003717472,-0.006262928,-0.012994468
