year mon tb3m cpiaucsl
1967 7 4.21 33.4
1967 8 4.27 33.5
1967 9 4.42 33.6
1967 10 4.56 33.7
1967 11 4.73 33.9
1967 12 4.97 34
1968 1 5 34.1
1968 2 4.98 34.2
1968 3 5.17 34.3
1968 4 5.38 34.4
1968 5 5.66 34.5
1968 6 5.52 34.7
1968 7 5.31 34.9
1968 8 5.09 35
1968 9 5.19 35.1
1968 10 5.35 35.3
1968 11 5.45 35.4
1968 12 5.96 35.6
1969 1 6.14 35.7
1969 2 6.12 35.8
1969 3 6.02 36.1
1969 4 6.11 36.3
1969 5 6.04 36.4
1969 6 6.44 36.6
1969 7 7 36.8
1969 8 6.98 36.9
1969 9 7.09 37.1
1969 10 7 37.3
1969 11 7.24 37.5
1969 12 7.82 37.7
1970 1 7.87 37.9
1970 2 7.13 38.1
1970 3 6.63 38.3
1970 4 6.51 38.5
1970 5 6.84 38.6
1970 6 6.68 38.8
1970 7 6.45 38.9
1970 8 6.41 39
1970 9 6.12 39.2
1970 10 5.91 39.4
1970 11 5.28 39.6
1970 12 4.87 39.8
1971 1 4.44 39.9
1971 2 3.7 39.9
1971 3 3.38 40
1971 4 3.86 40.1
1971 5 4.14 40.3
1971 6 4.75 40.5
1971 7 5.4 40.6
1971 8 4.94 40.7
1971 9 4.69 40.8
1971 10 4.46 40.9
1971 11 4.22 41
1971 12 4.01 41.1
1972 1 3.38 41.2
1972 2 3.2 41.4
1972 3 3.73 41.4
1972 4 3.71 41.5
1972 5 3.69 41.6
1972 6 3.91 41.7
1972 7 3.98 41.8
1972 8 4.02 41.9
1972 9 4.66 42.1
1972 10 4.74 42.2
1972 11 4.78 42.4
1972 12 5.07 42.5
1973 1 5.41 42.7
1973 2 5.6 43
1973 3 6.09 43.4
1973 4 6.26 43.7
1973 5 6.36 43.9
1973 6 7.19 44.2
1973 7 8.01 44.2
1973 8 8.67 45
1973 9 8.29 45.2
1973 10 7.22 45.6
1973 11 7.83 45.9
1973 12 7.45 46.3
1974 1 7.77 46.8
1974 2 7.12 47.3
1974 3 7.96 47.8
1974 4 8.33 48.1
1974 5 8.23 48.6
1974 6 7.9 49
1974 7 7.55 49.3
1974 8 8.96 49.9
1974 9 8.06 50.6
1974 10 7.46 51
1974 11 7.47 51.5
1974 12 7.15 51.9
1975 1 6.26 52.3
1975 2 5.5 52.6
1975 3 5.49 52.8
1975 4 5.61 53
1975 5 5.23 53.1
1975 6 5.34 53.5
1975 7 6.13 54
1975 8 6.44 54.2
1975 9 6.42 54.6
1975 10 5.96 54.9
1975 11 5.48 55.3
1975 12 5.44 55.6
1976 1 4.87 55.8
1976 2 4.88 55.9
1976 3 5 56
1976 4 4.86 56.1
1976 5 5.2 56.4
1976 6 5.41 56.7
1976 7 5.23 57
1976 8 5.14 57.3
1976 9 5.08 57.6
1976 10 4.92 57.9
1976 11 4.75 58.1
1976 12 4.35 58.4
1977 1 4.62 58.7
1977 2 4.67 59.3
1977 3 4.6 59.6
1977 4 4.54 60
1977 5 4.96 60.2
1977 6 5.02 60.5
1977 7 5.19 60.8
1977 8 5.49 61.1
1977 9 5.81 61.3
1977 10 6.16 61.6
1977 11 6.1 62
1977 12 6.07 62.3
1978 1 6.44 62.7
1978 2 6.45 63
1978 3 6.29 63.4
1978 4 6.29 63.9
1978 5 6.41 64.5
1978 6 6.73 65
1978 7 7.01 65.5
1978 8 7.08 65.9
1978 9 7.85 66.5
1978 10 7.99 67.1
1978 11 8.64 67.5
1978 12 9.08 67.9
1979 1 9.35 68.5
1979 2 9.32 69.2
1979 3 9.48 69.9
1979 4 9.46 70.6
1979 5 9.61 71.4
1979 6 9.06 72.2
1979 7 9.24 73
1979 8 9.52 73.7
1979 9 10.26 74.4
1979 10 11.7 75.2
1979 11 11.79 76
1979 12 12.04 76.9
1980 1 12 78
1980 2 12.86 79
1980 3 15.2 80.1
1980 4 13.2 80.9
1980 5 8.58 81.7
1980 6 7.07 82.5
1980 7 8.06 82.6
1980 8 9.13 83.2
1980 9 10.27 83.9
1980 10 11.62 84.7
1980 11 13.73 85.6
1980 12 15.49 86.4
1981 1 15.02 87.2
1981 2 14.79 88
1981 3 13.36 88.6
1981 4 13.69 89.1
1981 5 16.3 89.7
1981 6 14.73 90.5
1981 7 14.95 91.5
1981 8 15.51 92.2
1981 9 14.7 93.1
1981 10 13.54 93.4
1981 11 10.86 93.8
1981 12 10.85 94.1
1982 1 12.28 94.4
1982 2 13.48 94.7
1982 3 12.68 94.7
1982 4 12.7 95
1982 5 12.09 95.9
1982 6 12.47 97
1982 7 11.35 97.5
1982 8 8.68 97.7
1982 9 7.92 97.7
1982 10 7.71 98.1
1982 11 8.07 98
1982 12 7.94 97.7
1983 1 7.86 97.9
1983 2 8.11 98
1983 3 8.35 98.1
1983 4 8.21 98.8
1983 5 8.19 99.2
1983 6 8.79 99.4
1983 7 9.08 99.8
1983 8 9.34 100.1
1983 9 9 100.4
1983 10 8.64 100.8
1983 11 8.76 101.1
1983 12 9 101.4
1984 1 8.9 102.1
1984 2 9.09 102.6
1984 3 9.52 102.9
1984 4 9.69 103.3
1984 5 9.83 103.5
1984 6 9.87 103.7
1984 7 10.12 104.1
1984 8 10.47 104.4
1984 9 10.37 104.7
1984 10 9.74 105.1
1984 11 8.61 105.3
1984 12 8.06 105.5
1985 1 7.76 105.7
1985 2 8.27 106.3
1985 3 8.52 106.8
1985 4 7.95 107
1985 5 7.48 107.2
1985 6 6.95 107.5
1985 7 7.08 107.7
1985 8 7.14 107.9
1985 9 7.1 108.1
1985 10 7.16 108.5
1985 11 7.24 109
1985 12 7.1 109.5
1986 1 7.07 109.9
1986 2 7.06 109.7
1986 3 6.56 109.1
1986 4 6.06 108.7
1986 5 6.15 109
1986 6 6.21 109.4
1986 7 5.83 109.5
1986 8 5.53 109.6
1986 9 5.21 110
1986 10 5.18 110.2
1986 11 5.35 110.4
1986 12 5.53 110.8
1987 1 5.43 111.4
1987 2 5.59 111.8
1987 3 5.59 112.2
1987 4 5.64 112.7
1987 5 5.66 113
1987 6 5.67 113.5
1987 7 5.69 113.8
1987 8 6.04 114.3
1987 9 6.4 114.7
1987 10 6.13 115
1987 11 5.69 115.4
1987 12 5.77 115.6
1988 1 5.81 116
1988 2 5.66 116.2
1988 3 5.7 116.5
1988 4 5.91 117.2
1988 5 6.26 117.5
1988 6 6.46 118
1988 7 6.73 118.5
1988 8 7.06 119
1988 9 7.24 119.5
1988 10 7.35 119.9
1988 11 7.76 120.3
1988 12 8.07 120.7
1989 1 8.27 121.2
1989 2 8.53 121.6
1989 3 8.82 122.2
1989 4 8.65 123.1
1989 5 8.43 123.7
1989 6 8.15 124.1
1989 7 7.88 124.5
1989 8 7.9 124.5
1989 9 7.75 124.8
1989 10 7.64 125.4
1989 11 7.69 125.9
1989 12 7.63 126.3
1990 1 7.64 127.5
1990 2 7.74 128
1990 3 7.9 128.6
1990 4 7.77 128.9
1990 5 7.74 129.1
1990 6 7.73 129.9
1990 7 7.62 130.5
1990 8 7.45 131.6
1990 9 7.36 132.5
1990 10 7.17 133.4
1990 11 7.06 133.7
1990 12 6.74 134.2
1991 1 6.22 134.7
1991 2 5.94 134.8
1991 3 5.91 134.8
1991 4 5.65 135.1
1991 5 5.46 135.6
1991 6 5.57 136
1991 7 5.58 136.2
1991 8 5.33 136.6
1991 9 5.22 137
1991 10 4.99 137.2
1991 11 4.56 137.8
1991 12 4.07 138.2
1992 1 3.8 138.3
1992 2 3.84 138.6
1992 3 4.04 139.1
1992 4 3.75 139.4
1992 5 3.63 139.7
1992 6 3.66 140.1
1992 7 3.21 140.5
1992 8 3.13 140.8
1992 9 2.91 141.1
1992 10 2.86 141.7
1992 11 3.13 142.1
1992 12 3.22 142.3
1993 1 3 142.8
1993 2 2.93 143.1
1993 3 2.95 143.3
1993 4 2.87 143.8
1993 5 2.96 144.2
1993 6 3.07 144.3
1993 7 3.04 144.5
1993 8 3.02 144.8
1993 9 2.95 145
1993 10 3.02 145.6
1993 11 3.1 146
1993 12 3.06 146.3
1994 1 2.98 146.3
1994 2 3.25 146.7
1994 3 3.5 147.1
1994 4 3.68 147.2
1994 5 4.14 147.5
1994 6 4.14 147.9
1994 7 4.33 148.4
1994 8 4.48 149
1994 9 4.62 149.3
1994 10 4.95 149.4
1994 11 5.29 149.8
1994 12 5.6 150.1
1995 1 5.71 150.5
1995 2 5.77 150.9
1995 3 5.73 151.2
1995 4 5.65 151.8
1995 5 5.67 152.1
1995 6 5.47 152.4
1995 7 5.42 152.6
1995 8 5.4 152.9
1995 9 5.28 153.1
1995 10 5.28 153.5
1995 11 5.36 153.7
1995 12 5.14 153.9
1996 1 5 154.7
1996 2 4.83 155
1996 3 4.96 155.5
1996 4 4.95 156.1
1996 5 5.02 156.4
1996 6 5.09 156.7
1996 7 5.15 157
1996 8 5.05 157.2
1996 9 5.09 157.7
1996 10 4.99 158.2
1996 11 5.03 158.7
1996 12 4.91 159.1
1997 1 5.03 159.4
1997 2 5.01 159.7
1997 3 5.14 159.8
1997 4 5.16 159.9
1997 5 5.05 159.9
1997 6 4.93 160.2
1997 7 5.05 160.4
1997 8 5.14 160.8
1997 9 4.95 161.2
1997 10 4.97 161.5
1997 11 5.14 161.7
1997 12 5.16 161.8
1998 1 5.04 162
1998 2 5.09 162
1998 3 5.03 162
1998 4 4.95 162.2
1998 5 5 162.6
1998 6 4.98 162.8
1998 7 4.96 163.2
1998 8 4.9 163.4
1998 9 4.61 163.5
1998 10 3.96 163.9
1998 11 4.41 164.1
1998 12 4.39 164.4
1999 1 4.34 164.7
1999 2 4.44 164.7
1999 3 4.44 164.8
1999 4 4.29 165.9
1999 5 4.5 166
1999 6 4.57 166
1999 7 4.55 166.7
1999 8 4.72 167.1
1999 9 4.68 167.8
1999 10 4.86 168.1
1999 11 5.07 168.4
1999 12 5.2 168.8
