year mon gpsave gpdi
2007 4 1998.7 2329.6
2007 7 1967.8 2313.4
2007 10 2009.7 2260.5
2008 1 2138.9 2185.7
2008 4 2411.5 2165.4
2008 7 2333.9 2086.3
2008 10 2246.7 1913
2009 1 2503.8 1645.8
2009 4 2621.7 1495.3
2009 7 2556.6 1465.6
2009 10 2617.1 1590.4
2010 1 2781.4 1660.4
2010 4 2843.9 1724.7
2010 7 2888.3 1793.3
2010 10 2825.7 1770.9
2011 1 2794.6 1755.9
2011 4 2836 1819
2011 7 2810.7 1853.8
2011 10 2868.5 1991.1
2012 1 2773 2032.2
2012 4 2828.7 2041.7
2012 7 2838.8 2080.1
