200004 3.690 3.920 4.110 4.360
200005 3.920 4.360 4.550 4.850
200006 4.270 4.500 4.680 4.950
200007 4.300 4.570 4.820 5.100
200008 4.410 4.780 4.980 5.270
200009 4.580 4.850 5.020 5.190
200010 4.740 5.030 5.120 5.190
200011 4.830 5.080 5.130 5.160
200012 4.830 4.930 4.910 4.860
200101 4.750 4.750 4.670 4.560
200102 4.960 4.730 4.640 4.590
200103 4.770 4.700 4.600 4.480
200104 4.980 4.670 4.570 4.460
200105 4.630 4.630 4.550 4.510
200106 4.530 4.450 4.340 4.290
200107 4.500 4.440 4.380 4.300
200108 4.480 4.360 4.220 4.110
200109 3.980 3.960 3.820 3.760
200110 3.960 3.570 3.450 3.350
200111 3.500 3.360 3.250 3.190
200112 3.290 3.350 3.250 3.240
200201 3.290 3.320 3.340 3.480
200202 3.270 3.340 3.390 3.570
200203 3.250 3.380 3.490 3.800
