-.55    -.24    -.32   -.37    -.15    -.71   -.63    -.07    -.05     .03    -.44   -.19
-.03    -.08     .05   -.41    -.24    -.78   -.43     .10    -.10    -.34    -.43   -.57
-.46    -.38    -.04   -.42    -.49     .20   -.12    -.16    -.52    -.32    -.59   -.37
-.52    -.42    -.53   -.79   -1.17    -.82   -.76     .39    -.52    -.71    -.96   -.35
-.64    -.56    -.89   -.79    -.52    -.39   -.29    -.16    -.22    -.28    -.03    .01
-.23    -.57    -.63   -.35    -.52    -.66   -.21    -.23    -.04    -.50    -.45   -.36
-.60    -.70    -.57   -.72    -.74    -.44   -.35    -.16    -.36    -.56    -.61   -.48
-.28    -.53    -.64   -.19    -.62    -.26    .03     .16    -.09    -.02     .03   -.04
-.18     .33     .03    .20     .23    -.06   -.08    -.36    -.25    -.15    -.44   -.23
-.71    -.55    -.53   -.45    -.61    -.26   -.36    -.43    -.08     .00    -.30   -.07
-.57    -.81    -.30   -.55    -.36    -.35   -.40    -.26    -.28    -.36    -.47   -.19
-.38    -.23    -.42   -.56    -.63    -.30   -.30    -.31    -.36    -.27    -.37   -.50
-1.12    -.92    -.44   -.32    -.59    -.47   -.04    -.21    -.25    -.22    -.14   -.34
-.57    -.42    -.35   -.55    -.53    -.57   -.28    -.25    -.38    -.12    -.16   -.20
-.42    -.60    -.52   -.25    -.33    -.16   -.30    -.08    -.06    -.18    -.28    .05
-.34    -.13    -.51   -.38    -.27    -.24    .12    -.08    -.06     .16    -.17    .08
-.08    -.09     .06    .14     .00    -.11   -.07    -.11    -.15    -.12    -.10   -.06
-.18    -.40    -.81   -.43    -.60    -.17   -.35    -.20    -.18    -.41    -.27   -.21
-.37    -.46    -.29   -.22    -.26    -.51   -.09    -.09    -.03    -.29     .08    .01
-.32     .13     .13    .07     .07     .11    .06     .00     .10     .24     .12    .01
-.17    -.06    -.03    .02    -.15     .00   -.11    -.06     .03    -.11    -.28   -.04
-.29     .17    -.13   -.08    -.03     .03   -.12    -.29    -.19    -.31    -.32   -.44
-.31    -.06    -.06   -.36    -.40    -.46   -.23    -.34    -.20    -.49    -.38   -.41
-.84    -.62    -.37   -.41    -.53    -.36   -.29    -.28    -.38    -.41    -.24   -.34
-.54    -.74    -.14   -.13    -.19    -.17   -.21    -.23    -.14    -.18     .03   -.02
-.29    -.33    -.23    .05    -.04    -.15   -.14    -.08    -.15     .01    -.25   -.08
-.35    -.45    -.28   -.38    -.57    -.49   -.35    -.41    -.29    -.23    -.46   -.35
-.48    -.30    -.41   -.40    -.20    -.24   -.19    -.34    -.17    -.34    -.57   -.33
-.63    -.28    -.30   -.33    -.39    -.23   -.14    -.01    -.09    -.07     .04   -.32
-.33    -.19    -.43   -.30    -.18    -.25   -.28    -.01    -.09    -.23    -.24   -.35
-.50    -.50    -.42   -.32    -.30    -.31   -.23    -.26    -.29    -.13     .10   -.16
-.02     .04    -.31   -.02    -.05     .14   -.40    -.37    -.39    -.41    -.18   -.15
-.25    -.34    -.29   -.18    -.44    -.26   -.17    -.17    -.21    -.19    -.03    .15
 .06    -.05     .03   -.13    -.02     .05   -.09    -.11    -.05     .08    -.06    .05
-.14     .01    -.06    .06     .02    -.06    .02     .07     .24     .08     .13   -.04
 .00     .02    -.20   -.13    -.13    -.31   -.22    -.16    -.03    -.07    -.23   -.59
-.42    -.52    -.59   -.53    -.71    -.37   -.01    -.31    -.25    -.39    -.33   -.73
-.62    -.41    -.45   -.45    -.55    -.40   -.40    -.25    -.12     .10    -.23   -.33
-.37    -.17     .00   -.02    -.14    -.25   -.14    -.07    -.26    -.08    -.37   -.17
