year mon day  dspi
1982 05 01   2390.8
1982 06 01   2393.1
1982 07 01   2431.5
1982 08 01   2437.8
1982 09 01   2443.5
1982 10 01   2456.2
1982 11 01   2474.0
1982 12 01   2489.7
1983 01 01   2505.8
1983 02 01   2511.0
1983 03 01   2526.1
1983 04 01   2542.5
1983 05 01   2558.7
1983 06 01   2566.6
1983 07 01   2613.6
1983 08 01   2623.8
1983 09 01   2648.1
1983 10 01   2674.9
1983 11 01   2701.1
1983 12 01   2725.9
1984 01 01   2756.7
1984 02 01   2792.3
1984 03 01   2819.5
1984 04 01   2851.1
1984 05 01   2859.3
1984 06 01   2885.1
1984 07 01   2904.4
1984 08 01   2935.3
1984 09 01   2957.5
1984 10 01   2955.7
1984 11 01   2976.5
1984 12 01   3004.1
1985 01 01   3018.6
1985 02 01   3003.8
1985 03 01   2987.0
1985 04 01   3054.6
1985 05 01   3131.7
1985 06 01   3070.5
1985 07 01   3076.4
1985 08 01   3082.2
1985 09 01   3099.4
1985 10 01   3123.7
1985 11 01   3139.3
1985 12 01   3164.8
1986 01 01   3182.1
1986 02 01   3199.9
1986 03 01   3226.8
1986 04 01   3229.7
1986 05 01   3241.2
1986 06 01   3253.2
1986 07 01   3271.4
1986 08 01   3280.2
1986 09 01   3295.6
1986 10 01   3299.4
1986 11 01   3311.4
1986 12 01   3314.6
1987 01 01   3350.2
1987 02 01   3377.8
1987 03 01   3391.0
1987 04 01   3268.9
1987 05 01   3409.6
1987 06 01   3419.1
1987 07 01   3437.8
1987 08 01   3466.8
1987 09 01   3479.8
1987 10 01   3516.8
1987 11 01   3536.0
1987 12 01   3570.0
1988 01 01   3588.9
1988 02 01   3614.6
1988 03 01   3644.7
1988 04 01   3669.6
1988 05 01   3685.8
1988 06 01   3714.4
1988 07 01   3745.5
1988 08 01   3762.7
1988 09 01   3784.6
1988 10 01   3814.8
1988 11 01   3826.2
1988 12 01   3863.8
1989 01 01   3904.5
1989 02 01   3921.2
1989 03 01   3950.1
1989 04 01   3955.6
1989 05 01   3952.6
1989 06 01   3974.3
1989 07 01   3994.9
1989 08 01   4005.2
1989 09 01   4024.7
1989 10 01   4057.2
1989 11 01   4071.5
1989 12 01   4084.7
1990 01 01   4136.7
1990 02 01   4168.6
1990 03 01   4186.7
1990 04 01   4224.4
1990 05 01   4228.9
1990 06 01   4256.8
1990 07 01   4281.0
1990 08 01   4286.9
1990 09 01   4313.7
1990 10 01   4307.0
1990 11 01   4317.3
1990 12 01   4340.2
1991 01 01   4348.6
1991 02 01   4362.9
1991 03 01   4375.9
1991 04 01   4399.5
1991 05 01   4417.6
1991 06 01   4449.2
1991 07 01   4444.6
1991 08 01   4461.4
1991 09 01   4489.5
1991 10 01   4505.0
1991 11 01   4519.2
1991 12 01   4565.1
1992 01 01   4605.8
1992 02 01   4639.7
1992 03 01   4656.9
1992 04 01   4680.3
1992 05 01   4704.6
1992 06 01   4720.9
1992 07 01   4739.2
1992 08 01   4766.4
1992 09 01   4764.8
1992 10 01   4793.3
1992 11 01   4805.0
1992 12 01   4963.8
1993 01 01   4803.8
1993 02 01   4807.1
1993 03 01   4806.8
1993 04 01   4895.1
1993 05 01   4918.1
1993 06 01   4912.0
1993 07 01   4928.9
1993 08 01   4939.9
1993 09 01   4939.8
1993 10 01   4962.8
1993 11 01   4989.2
1993 12 01   5155.9
1994 01 01   5014.4
1994 02 01   5028.1
1994 03 01   5064.6
1994 04 01   5087.5
1994 05 01   5174.4
1994 06 01   5184.6
1994 07 01   5203.3
1994 08 01   5226.8
1994 09 01   5256.9
1994 10 01   5311.3
1994 11 01   5318.4
1994 12 01   5341.5
1995 01 01   5370.5
1995 02 01   5386.1
1995 03 01   5405.0
1995 04 01   5374.1
1995 05 01   5432.0
1995 06 01   5451.2
1995 07 01   5467.1
1995 08 01   5480.5
1995 09 01   5500.5
1995 10 01   5520.0
1995 11 01   5537.3
1995 12 01   5559.7
1996 01 01   5580.2
1996 02 01   5637.0
1996 03 01   5675.1
1996 04 01   5659.8
1996 05 01   5744.5
1996 06 01   5780.6
1996 07 01   5778.9
1996 08 01   5800.4
1996 09 01   5831.4
1996 10 01   5849.2
1996 11 01   5875.7
1996 12 01   5902.7
1997 01 01   5929.4
1997 02 01   5958.0
1997 03 01   5989.9
1997 04 01   5997.3
1997 05 01   6018.4
1997 06 01   6044.0
1997 07 01   6071.6
1997 08 01   6108.1
1997 09 01   6138.5
1997 10 01   6174.5
1997 11 01   6214.4
1997 12 01   6250.8
1998 01 01   6316.4
1998 02 01   6357.9
1998 03 01   6398.4
1998 04 01   6428.1
1998 05 01   6464.4
1998 06 01   6497.8
1998 07 01   6526.5
1998 08 01   6558.0
1998 09 01   6575.1
1998 10 01   6600.8
1998 11 01   6625.5
1998 12 01   6638.5
1999 01 01   6673.4
1999 02 01   6688.4
1999 03 01   6700.3
1999 04 01   6720.9
1999 05 01   6738.7
1999 06 01   6763.0
1999 07 01   6787.9
1999 08 01   6827.6
1999 09 01   6844.3
1999 10 01   6899.0
1999 11 01   6958.7
1999 12 01   7037.6
2000 01 01   7118.4
2000 02 01   7180.8
2000 03 01   7225.6
2000 04 01   7248.4
2000 05 01   7277.4
2000 06 01   7315.6
2000 07 01   7366.3
2000 08 01   7398.8
2000 09 01   7436.6
2000 10 01   7443.9
2000 11 01   7444.4
2000 12 01   7469.9
2001 01 01   7540.7
2001 02 01   7562.9
2001 03 01   7580.6
2001 04 01   7567.7
